measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291725_ims.csv	p2	0.51363	0	57.2987	889	0
BD18_1711291725_ims.csv	p4	0.57653	23.369	13.4929	997	47
BD18_1711291725_ims.csv	p6	0.53284	2.06	10.192	922	4
BD18_1711291725_ims.csv	p8	1.11467	96.128	21.0754	1921	193
BD18_1711291725_ims.csv	p9	0.50489	0	28.7522	874	0
BD18_1711291725_ims.csv	p10	0.48742	43.306	34.2478	844	87
BD18_1711291725_ims.csv	p11	0.89918	27.878	13.6104	1551	56
BD18_1711291725_ims.csv	p12	0.48742	64.226	28.6935	844	129
BD18_1711291725_ims.csv	p14	1.06284	98.093	26.9744	1832	197
BD18_1711291725_ims.csv	p15	0.48742	79.607	34.509	844	160
BD18_1711291725_ims.csv	p16	0.58584	2.949	46.7939	1013	6
BD18_1711291725_ims.csv	p20	0.48742	53.243	57.8059	844	107
BD18_1711291725_ims.csv	p21	1.03721	100.028	34.3176	1788	201
BD18_1711291725_ims.csv	p22	0.47519	4.446	19.6911	823	9
BD18_1711291725_ims.csv	p23	0.49848	6.552	231.067	863	13
BD18_1711291725_ims.csv	p25	0.80891	30.842	10.0877	1396	62
BD18_1711291725_ims.csv	p26	0.49965	0	24.7608	865	0
BD18_1711291725_ims.csv	p27	0.56662	7.972	10.2432	980	16
BD18_1711291725_ims.csv	p30	0.68019	32.885	17.9147	1175	66
BD18_1711291725_ims.csv	p32	0.98305	97.563	49.8695	1695	196
BD18_1711291725_ims.csv	p41	0.58118	7.504	19.7429	1005	15
BD18_1711291725_ims.csv	p43	0.47577	51.309	41.3427	824	103
BD18_1711291725_ims.csv	p45	1.0046	97.563	44.3717	1732	196
BD18_1711291725_ims.csv	p47	0.5375	7.972	61.6167	930	16
BD18_1711291725_ims.csv	p49	0.47577	64.226	35.6287	824	129
BD18_1711291725_ims.csv	p54	0.47577	79.607	37.774	824	160
BD18_1711291725_ims.csv	p55	0.54857	7.504	272.231	949	15
BD18_1711291725_ims.csv	p58	0.59516	14.961	11.3855	1029	30
BD18_1711291725_ims.csv	p60	0.59574	23.9	19.106	1030	48
BD18_1711291725_ims.csv	p65	0.45014	14.961	23.2393	780	30
BD18_1711291725_ims.csv	p67	0.45247	4.446	217.111	784	9
BD18_1711291725_ims.csv	p68	0.91549	27.878	13.033	1579	56
BD18_1711291725_ims.csv	p70	0.47577	21.404	32.2446	824	43
BD18_1711291725_ims.csv	p71	0.6272	116.501	24.5078	1084	234
BD18_1711291725_ims.csv	p72	0.47577	16.396	35.0789	824	33
BD18_1711291725_ims.csv	p73	0.47926	53.243	343.714	830	107
BD18_1711291725_ims.csv	p75	0.88811	116.954	49.422	1532	235
BD18_1711291725_ims.csv	p76	0.84618	29.89	738.149	1460	60
BD18_1711291725_ims.csv	p77	0.50955	13.463	29.8803	882	27
BD18_1711291725_ims.csv	p78	0.47926	64.226	308.71	830	129
BD18_1711291725_ims.csv	p79	0.59574	37.893	17.2623	1030	76
BD18_1711291725_ims.csv	p82	0.51363	20.951	22.8948	889	42
BD18_1711291725_ims.csv	p83	0.59574	56.176	11.913	1030	113
BD18_1711291725_ims.csv	p85	0.51363	15.429	36.8134	889	31
BD18_1711291725_ims.csv	p87	0.51828	20.951	13.8789	897	42
BD18_1711291725_ims.csv	p88	0.92481	104.068	102.635	1595	209
BD18_1711291725_ims.csv	p90	0.47926	79.607	325.134	830	160
BD18_1711291725_ims.csv	p91	0.51828	15.429	24.3427	897	31
BD18_1711291725_ims.csv	p92	0.61846	120.495	25.8537	1069	242
BD18_1711291725_ims.csv	p94	0.68544	33.353	41.7266	1184	67
BD18_1711291725_ims.csv	p96	0.60856	58.734	23.024	1052	118
BD18_1711291725_ims.csv	p101	0.60739	120.495	67.9663	1050	242
BD18_1711291725_ims.csv	p102	0.52353	15.429	12.0779	906	31
BD18_1711291725_ims.csv	p103	0.60798	74.631	26.406	1051	150
BD18_1711291725_ims.csv	p104	0.60681	108.53	102.656	1049	218
BD18_1711291725_ims.csv	p105	0.52353	9.938	19.1422	906	20
BD18_1711291725_ims.csv	p106	0.60739	90.59	95.3078	1050	182
BD18_1711291725_ims.csv	p107	0.6435	32.885	374.801	1112	66
BD18_1711291725_ims.csv	p108	0.52819	15.429	10.9106	914	31
BD18_1711291725_ims.csv	p110	0.73902	59.265	11.9767	1276	119
BD18_1711291725_ims.csv	p111	0.46354	0	11.6519	803	0
BD18_1711291725_ims.csv	p113	0.64408	26.895	328.549	1113	54
BD18_1711291725_ims.csv	p114	0.46878	0	16.1618	812	0
