measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291705_ims.csv	p1	0.47892	0	116.151	830	0
BD18_1711291705_ims.csv	p2	0.50394	0	14.655	873	0
BD18_1711291705_ims.csv	p3	0.64944	94.146	10.386	1123	189
BD18_1711291705_ims.csv	p4	0.68494	29.344	20.98	1184	59
BD18_1711291705_ims.csv	p5	0.586	3.51	41.6237	1014	7
BD18_1711291705_ims.csv	p6	1.00911	98.046	19.2214	1741	197
BD18_1711291705_ims.csv	p7	0.81298	29.344	34.0534	1404	59
BD18_1711291705_ims.csv	p9	0.58018	7.987	12.4582	1004	16
BD18_1711291705_ims.csv	p10	0.84266	29.344	22.679	1455	59
BD18_1711291705_ims.csv	p11	0.90028	98.046	10.6522	1554	197
BD18_1711291705_ims.csv	p12	0.64362	29.344	254.985	1113	59
BD18_1711291705_ims.csv	p13	0.56913	7.472	20.8723	985	15
BD18_1711291705_ims.csv	p14	0.90377	97.079	11.9074	1560	195
BD18_1711291705_ims.csv	p15	0.49696	6.49	208.74	861	13
BD18_1711291705_ims.csv	p16	0.97303	97.609	30.5571	1679	196
BD18_1711291705_ims.csv	p18	0.59764	29.344	167.695	1034	59
BD18_1711291705_ims.csv	p19	1.14006	97.609	27.7357	1966	196
BD18_1711291705_ims.csv	p20	0.59764	37.83	221.596	1034	76
BD18_1711291705_ims.csv	p21	0.9544	97.609	30.3115	1647	196
BD18_1711291705_ims.csv	p22	1.03763	98.046	14.353	1790	197
BD18_1711291705_ims.csv	p23	0.59764	19.469	248.866	1034	39
BD18_1711291705_ims.csv	p24	0.59764	56.831	49.2323	1034	114
BD18_1711291705_ims.csv	p25	0.6605	101.541	12.0687	1142	204
BD18_1711291705_ims.csv	p26	1.04927	98.046	12.9641	1810	197
BD18_1711291705_ims.csv	p28	0.92414	97.609	123.468	1595	196
BD18_1711291705_ims.csv	p29	1.07255	97.609	10.5143	1850	196
BD18_1711291705_ims.csv	p31	0.7379	94.614	29.6413	1275	190
BD18_1711291705_ims.csv	p32	0.60637	101.104	105.758	1049	203
BD18_1711291705_ims.csv	p34	0.88806	117.499	50.7327	1533	236
BD18_1711291705_ims.csv	p35	0.54818	7.472	222.362	949	15
BD18_1711291705_ims.csv	p36	0.45098	12.995	15.1029	782	26
BD18_1711291705_ims.csv	p40	0.45215	4.462	203.157	784	9
BD18_1711291705_ims.csv	p41	0.53828	7.987	73.6368	932	16
BD18_1711291705_ims.csv	p42	1.0417	97.609	13.495	1797	196
BD18_1711291705_ims.csv	p43	0.89562	97.079	10.2947	1546	195
BD18_1711291705_ims.csv	p44	1.01726	98.046	17.0156	1755	197
BD18_1711291705_ims.csv	p45	0.6442	19.469	45.4426	1114	39
BD18_1711291705_ims.csv	p46	1.00096	97.609	20.3958	1727	196
BD18_1711291705_ims.csv	p47	0.80541	19.469	15.5026	1391	39
BD18_1711291705_ims.csv	p48	1.02773	97.609	15.7938	1773	196
BD18_1711291705_ims.csv	p49	0.57727	23.369	24.9519	999	47
BD18_1711291705_ims.csv	p50	1.06731	97.609	10.8648	1841	196
BD18_1711291705_ims.csv	p51	1.058	97.609	12.1701	1825	196
BD18_1711291705_ims.csv	p52	0.99631	98.046	21.1293	1719	197
