measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291659_ims.csv	p1	1.07753	95.597	22.4155	1859	192
BD18_1711291659_ims.csv	p2	0.50848	0	29.0257	881	0
BD18_1711291659_ims.csv	p3	1.03912	98.077	32.335	1793	197
BD18_1711291659_ims.csv	p4	0.51197	0	27.8299	887	0
BD18_1711291659_ims.csv	p5	0.47066	0	11.04	816	0
BD18_1711291659_ims.csv	p6	0.50324	0	20.6368	872	0
BD18_1711291659_ims.csv	p7	1.00887	96.564	41.8682	1741	194
BD18_1711291659_ims.csv	p8	0.73831	106.096	15.3504	1276	213
BD18_1711291659_ims.csv	p10	1.01411	96.564	39.2138	1750	194
BD18_1711291659_ims.csv	p13	1.09906	96.127	20.0666	1896	193
BD18_1711291659_ims.csv	p14	0.53292	2.574	15.5541	923	5
BD18_1711291659_ims.csv	p15	0.88784	117.577	48.6772	1533	236
BD18_1711291659_ims.csv	p16	0.55735	3.104	10.6905	965	6
BD18_1711291659_ims.csv	p17	0.47764	85.145	99.4252	828	171
BD18_1711291659_ims.csv	p21	0.97861	94.599	53.269	1689	190
BD18_1711291659_ims.csv	p22	0.47764	53.243	113.077	828	107
BD18_1711291659_ims.csv	p23	1.11127	97.11	21.0186	1917	195
BD18_1711291659_ims.csv	p25	0.45204	4.54	189.988	784	9
BD18_1711291659_ims.csv	p27	0.47764	64.74	113.425	828	130
BD18_1711291659_ims.csv	p28	0.52302	6.037	13.2575	906	12
BD18_1711291659_ims.csv	p29	0.8989	27.846	15.2092	1552	56
BD18_1711291659_ims.csv	p30	0.92392	103.569	108.427	1595	208
BD18_1711291659_ims.csv	p46	0.9693	95.067	52.5931	1673	191
BD18_1711291659_ims.csv	p47	1.11884	99.123	21.9841	1930	199
BD18_1711291659_ims.csv	p49	1.07229	100.105	23.7578	1850	201
BD18_1711291659_ims.csv	p51	0.95941	99.123	51.0368	1656	199
BD18_1711291659_ims.csv	p53	0.62718	58.734	10.8547	1085	118
BD18_1711291659_ims.csv	p54	0.62718	124.987	17.9561	1085	251
BD18_1711291659_ims.csv	p55	1.06589	99.123	25.2267	1839	199
BD18_1711291659_ims.csv	p59	0.62718	74.194	11.4935	1085	149
BD18_1711291659_ims.csv	p60	1.14037	96.127	68.3728	1967	193
BD18_1711291659_ims.csv	p64	1.09265	96.127	21.6505	1885	193
BD18_1711291659_ims.csv	p65	1.02749	98.077	35.3874	1773	197
BD18_1711291659_ims.csv	p68	1.05076	98.077	29.1281	1813	197
BD18_1711291659_ims.csv	p70	0.62601	107.063	37.8184	1083	215
BD18_1711291659_ims.csv	p71	0.9984	99.123	43.8589	1723	199
BD18_1711291659_ims.csv	p73	0.62601	90.605	39.0663	1083	182
BD18_1711291659_ims.csv	p74	0.81569	30.872	11.4452	1409	62
BD18_1711291659_ims.csv	p81	1.00363	96.127	43.6577	1732	193
BD18_1711291659_ims.csv	p83	0.60797	59.701	16.6107	1052	120
BD18_1711291659_ims.csv	p88	0.60739	74.194	24.8539	1051	149
BD18_1711291659_ims.csv	p91	0.47764	144.378	118.17	828	290
BD18_1711291659_ims.csv	p93	0.60681	90.605	95.4452	1050	182
BD18_1711291659_ims.csv	p97	0.48171	44.304	444.394	835	89
BD18_1711291659_ims.csv	p98	0.9437	93.631	71.7869	1629	188
BD18_1711291659_ims.csv	p105	0.48171	53.243	469.057	835	107
BD18_1711291659_ims.csv	p107	0.48171	148.341	481.145	835	298
BD18_1711291659_ims.csv	p110	0.48171	64.74	470.515	835	130
BD18_1711291659_ims.csv	p115	0.89424	93.101	21.0937	1544	187
BD18_1711291659_ims.csv	p119	1.08567	99.123	22.0293	1873	199
BD18_1711291659_ims.csv	p120	0.49277	148.855	194.762	854	299
BD18_1711291659_ims.csv	p125	0.60681	139.885	34.4055	1050	281
BD18_1711291659_ims.csv	p132	0.96407	99.575	49.9344	1664	200
BD18_1711291659_ims.csv	p138	0.49277	53.243	191.329	854	107
BD18_1711291659_ims.csv	p139	0.60623	106.548	107.372	1049	214
BD18_1711291659_ims.csv	p140	0.49277	65.192	190.787	854	131
BD18_1711291659_ims.csv	p146	0.97396	95.067	53.6175	1681	191
BD18_1711291659_ims.csv	p148	0.90123	103.038	14.084	1556	207
BD18_1711291659_ims.csv	p150	1.04727	95.067	28.8413	1807	191
BD18_1711291659_ims.csv	p151	1.01992	96.127	37.3421	1760	193
BD18_1711291659_ims.csv	p152	1.03563	96.127	32.8318	1787	193
BD18_1711291659_ims.csv	p154	1.05949	94.599	26.4886	1828	190
BD18_1711291659_ims.csv	p158	0.54804	7.441	416.404	949	15
BD18_1711291659_ims.csv	p159	0.53583	7.004	54.7455	928	14
BD18_1711291659_ims.csv	p162	0.58528	6.474	74.3965	1013	13
BD18_1711291659_ims.csv	p163	0.51313	12.028	57.6352	889	24
BD18_1711291659_ims.csv	p165	0.59634	23.977	25.412	1032	48
BD18_1711291659_ims.csv	p170	0.47764	0	281.451	828	0
BD18_1711291659_ims.csv	p171	0.91403	27.846	10.5947	1578	56
BD18_1711291659_ims.csv	p172	0.47764	16.505	93.6026	828	33
BD18_1711291659_ims.csv	p175	0.59634	37.861	23.8949	1032	76
