measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291739_ims.csv	p1	0.47857	0	105.356	829	0
BD18_1711291739_ims.csv	p2	0.54786	2.527	21.5105	948	5
BD18_1711291739_ims.csv	p3	0.53505	2.527	18.5255	926	5
BD18_1711291739_ims.csv	p4	1.09344	97.578	14.5534	1885	196
BD18_1711291739_ims.csv	p5	0.58629	3.479	52.6824	1014	7
BD18_1711291739_ims.csv	p7	0.45236	4.009	188.412	784	8
BD18_1711291739_ims.csv	p8	0.89663	96.174	11.2935	1547	193
BD18_1711291739_ims.csv	p9	0.84947	19.438	12.5553	1466	39
BD18_1711291739_ims.csv	p10	0.61249	5.928	23.4031	1059	12
BD18_1711291739_ims.csv	p11	0.64451	19.438	52.3555	1114	39
BD18_1711291739_ims.csv	p13	0.80405	19.438	25.8461	1388	39
BD18_1711291739_ims.csv	p14	0.57697	23.447	23.1963	998	47
BD18_1711291739_ims.csv	p15	0.58046	7.426	17.0207	1004	15
BD18_1711291739_ims.csv	p16	1.11266	97.578	13.8989	1918	196
BD18_1711291739_ims.csv	p18	0.78193	8.034	12.2647	1350	16
BD18_1711291739_ims.csv	p20	0.49545	10.436	117.238	858	21
BD18_1711291739_ims.csv	p21	0.84248	29.359	24.4104	1454	59
BD18_1711291739_ims.csv	p22	0.85413	29.359	17.6038	1474	59
BD18_1711291739_ims.csv	p23	0.49778	5.491	212.412	862	11
BD18_1711291739_ims.csv	p24	1.10683	97.141	13.6599	1908	195
BD18_1711291739_ims.csv	p25	0.68469	29.359	21.6392	1183	59
BD18_1711291739_ims.csv	p26	0.53621	9.984	54.8703	928	20
BD18_1711291739_ims.csv	p27	1.09985	97.578	14.2708	1896	196
BD18_1711291739_ims.csv	p28	1.11615	97.141	13.4339	1924	195
BD18_1711291739_ims.csv	p30	0.54786	7.426	806.381	948	15
BD18_1711291739_ims.csv	p31	1.00144	97.578	31.5092	1727	196
BD18_1711291739_ims.csv	p32	0.96127	97.578	41.5626	1658	196
BD18_1711291739_ims.csv	p33	1.12081	97.578	13.4759	1932	196
BD18_1711291739_ims.csv	p34	1.05967	97.578	17.3343	1827	196
BD18_1711291739_ims.csv	p35	1.08587	97.578	15.2122	1872	196
BD18_1711291739_ims.csv	p36	1.08121	98.109	15.5701	1864	197
BD18_1711291739_ims.csv	p37	0.81337	29.359	37.8886	1404	59
BD18_1711291739_ims.csv	p39	0.59735	29.359	165.745	1033	59
BD18_1711291739_ims.csv	p40	0.59735	19.438	287.321	1033	39
BD18_1711291739_ims.csv	p41	0.64393	29.359	253.124	1113	59
BD18_1711291739_ims.csv	p42	1.03521	98.109	22.8556	1785	197
BD18_1711291739_ims.csv	p43	0.59735	37.331	225.587	1033	75
BD18_1711291739_ims.csv	p44	0.65092	45.895	12.6643	1125	92
BD18_1711291739_ims.csv	p45	0.59793	56.706	108.04	1034	114
BD18_1711291739_ims.csv	p46	0.97524	98.109	43.9732	1682	197
BD18_1711291739_ims.csv	p47	0.99213	97.578	34.5385	1711	196
BD18_1711291739_ims.csv	p48	1.01134	97.578	29.0495	1744	196
BD18_1711291739_ims.csv	p49	1.1406	97.578	43.4632	1966	196
BD18_1711291739_ims.csv	p53	0.6614	102.601	10.2565	1143	206
BD18_1711291739_ims.csv	p54	0.94787	97.578	44.8543	1635	196
BD18_1711291739_ims.csv	p55	0.924	100.059	120.491	1594	201
BD18_1711291739_ims.csv	p57	0.73826	102.071	28.1946	1275	205
BD18_1711291739_ims.csv	p58	0.95486	97.578	42.6138	1647	196
BD18_1711291739_ims.csv	p60	1.07248	98.109	16.3727	1849	197
BD18_1711291739_ims.csv	p61	0.60608	102.071	98.8216	1048	205
BD18_1711291739_ims.csv	p63	0.8879	117.515	48.0915	1532	236
