measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291732_ims.csv	p1	0.47892	0	102.343	830	0
BD18_1711291732_ims.csv	p2	1.1127	98.093	20.8505	1919	197
BD18_1711291732_ims.csv	p3	0.50744	0	17.8256	879	0
BD18_1711291732_ims.csv	p5	0.84557	29.406	500.261	1460	59
BD18_1711291732_ims.csv	p6	0.96197	98.608	52.2711	1660	198
BD18_1711291732_ims.csv	p7	0.86943	29.843	13.0742	1501	60
BD18_1711291732_ims.csv	p8	0.45273	4.478	201.315	785	9
BD18_1711291732_ims.csv	p10	0.89737	28.876	18.607	1549	58
BD18_1711291732_ims.csv	p11	0.58659	2.98	45.9854	1015	6
BD18_1711291732_ims.csv	p12	0.89795	94.552	13.9114	1550	190
BD18_1711291732_ims.csv	p13	0.89388	100.574	13.1095	1543	202
BD18_1711291732_ims.csv	p14	0.91599	28.876	21.2947	1581	58
BD18_1711291732_ims.csv	p16	0.99281	96.596	47.666	1713	194
BD18_1711291732_ims.csv	p17	0.71753	28.439	26.4562	1240	57
BD18_1711291732_ims.csv	p18	0.5668	7.941	12.3887	981	16
BD18_1711291732_ims.csv	p19	1.06324	97.111	25.6548	1834	195
BD18_1711291732_ims.csv	p20	1.00445	96.596	42.5298	1733	194
BD18_1711291732_ims.csv	p23	1.13948	96.596	61.7071	1965	194
BD18_1711291732_ims.csv	p26	0.9771	96.596	56.3146	1686	194
BD18_1711291732_ims.csv	p27	0.68552	31.325	41.414	1185	63
BD18_1711291732_ims.csv	p28	0.54759	7.41	476.084	948	15
BD18_1711291732_ims.csv	p29	0.7379	103.553	23.0964	1275	208
BD18_1711291732_ims.csv	p30	0.64304	28.439	442.323	1112	57
BD18_1711291732_ims.csv	p31	0.49696	6.428	235.432	861	13
BD18_1711291732_ims.csv	p34	0.92356	101.525	116.64	1594	204
BD18_1711291732_ims.csv	p35	0.68843	78.671	20.6705	1190	158
BD18_1711291732_ims.csv	p39	0.88747	117.484	50.7493	1532	236
BD18_1711291732_ims.csv	p42	0.60405	120.464	15.3459	1045	242
BD18_1711291732_ims.csv	p43	0.60521	104.068	92.1301	1047	209
BD18_1711291732_ims.csv	p44	0.94044	96.596	59.3613	1623	194
BD18_1711291732_ims.csv	p45	1.03239	97.641	33.4062	1781	196
BD18_1711291732_ims.csv	p46	0.57727	22.886	13.7729	999	46
BD18_1711291732_ims.csv	p47	1.01086	96.596	40.9324	1744	194
BD18_1711291732_ims.csv	p49	1.05742	97.111	26.8152	1824	195
BD18_1711291732_ims.csv	p50	1.08651	98.093	20.9543	1874	197
BD18_1711291732_ims.csv	p52	1.07429	97.641	24.355	1853	196
BD18_1711291732_ims.csv	p54	1.09699	97.111	19.4643	1892	195
BD18_1711291732_ims.csv	p56	1.02657	97.111	36.0672	1771	195
BD18_1711291732_ims.csv	p58	1.03821	98.093	32.0741	1791	197
BD18_1711291732_ims.csv	p59	0.81356	28.876	14.5186	1405	58
BD18_1711291732_ims.csv	p60	1.06731	97.111	24.782	1841	195
BD18_1711291732_ims.csv	p63	0.80192	28.876	11.7121	1385	58
BD18_1711291732_ims.csv	p66	0.7606	28.439	12.7157	1314	57
BD18_1711291732_ims.csv	p68	1.0807	98.093	22.627	1864	197
BD18_1711291732_ims.csv	p69	0.78737	28.876	11.549	1360	58
BD18_1711291732_ims.csv	p70	0.78097	28.876	11.3162	1349	58
BD18_1711291732_ims.csv	p72	0.7961	30.374	10.8091	1375	61
BD18_1711291732_ims.csv	p73	0.81822	29.406	14.8126	1413	59
BD18_1711291732_ims.csv	p74	0.77457	28.876	10.7528	1338	58
BD18_1711291732_ims.csv	p75	0.80949	28.876	14.3556	1398	58
BD18_1711291732_ims.csv	p76	0.82346	29.406	15.9154	1422	59
BD18_1711291732_ims.csv	p77	1.10688	96.596	19.76	1909	194
BD18_1711291732_ims.csv	p82	1.0481	98.093	29.0631	1808	197
