measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291756_ims.csv	p1	0.47647	0	96.9949	825	0
BD18_1711291756_ims.csv	p3	0.50268	0	17.894	870	0
BD18_1711291756_ims.csv	p8	0.53647	8.05	55.7157	928	16
BD18_1711291756_ims.csv	p9	0.946	100.075	48.7787	1631	201
BD18_1711291756_ims.csv	p12	0.452	9.969	22.2808	783	20
BD18_1711291756_ims.csv	p14	0.75842	7.426	13.3473	1309	15
BD18_1711291756_ims.csv	p16	0.45258	4.524	213.919	784	9
BD18_1711291756_ims.csv	p17	0.57958	7.426	10.0333	1002	15
BD18_1711291756_ims.csv	p19	0.59647	23.946	16.1356	1031	48
BD18_1711291756_ims.csv	p20	0.58657	3.526	108.999	1014	7
BD18_1711291756_ims.csv	p22	0.96406	94.568	50.2525	1662	190
BD18_1711291756_ims.csv	p23	0.81085	27.909	12.1924	1399	56
BD18_1711291756_ims.csv	p26	1.06892	95.192	25.3898	1842	191
BD18_1711291756_ims.csv	p27	0.49744	6.474	242.981	861	13
BD18_1711291756_ims.csv	p30	0.5487	7.426	228.979	949	15
BD18_1711291756_ims.csv	p31	1.03396	100.075	34.0125	1782	201
BD18_1711291756_ims.csv	p32	0.81609	27.909	11.3668	1408	56
BD18_1711291756_ims.csv	p35	0.52715	8.487	12.2147	912	17
BD18_1711291756_ims.csv	p36	1.13999	99.092	62.7429	1964	199
BD18_1711291756_ims.csv	p38	0.50734	0	15.6631	878	0
BD18_1711291756_ims.csv	p39	0.50792	12.449	17.8291	879	25
BD18_1711291756_ims.csv	p40	0.90872	93.133	15.6417	1567	187
BD18_1711291756_ims.csv	p42	0.49278	9.017	287.424	853	18
BD18_1711291756_ims.csv	p44	0.49278	24.867	185.687	853	50
BD18_1711291756_ims.csv	p45	0.95823	94.568	50.2111	1652	190
BD18_1711291756_ims.csv	p47	1.12368	95.192	20.2457	1936	191
BD18_1711291756_ims.csv	p50	1.04154	95.192	32.115	1795	191
BD18_1711291756_ims.csv	p54	0.48054	0	425.998	832	0
BD18_1711291756_ims.csv	p55	0.48054	16.458	246.246	832	33
BD18_1711291756_ims.csv	p56	1.0829	94.568	21.6836	1866	190
BD18_1711291756_ims.csv	p57	0.48054	24.867	233.857	832	50
BD18_1711291756_ims.csv	p58	0.48695	0	261.49	843	0
BD18_1711291756_ims.csv	p59	0.48695	16.006	250.998	843	32
BD18_1711291756_ims.csv	p60	0.48695	24.867	236.225	843	50
BD18_1711291756_ims.csv	p61	1.00658	96.159	43.6622	1735	193
BD18_1711291756_ims.csv	p64	1.07299	96.159	24.7265	1849	193
BD18_1711291756_ims.csv	p65	0.6856	26.489	32.469	1184	53
BD18_1711291756_ims.csv	p67	0.71822	26.926	13.8166	1240	54
