measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291646_ims.csv	p1	0.47926	0	133.205	830	0
BD18_1711291646_ims.csv	p2	0.8124	29.359	16.1479	1402	59
BD18_1711291646_ims.csv	p3	0.50372	0	16.6105	872	0
BD18_1711291646_ims.csv	p4	0.50897	13.462	14.3664	881	27
BD18_1711291646_ims.csv	p5	0.68951	3.463	10.9795	1191	7
BD18_1711291646_ims.csv	p6	0.84036	29.359	10.1713	1450	59
BD18_1711291646_ims.csv	p7	0.58701	3.463	101.95	1015	7
BD18_1711291646_ims.csv	p8	0.54857	7.55	320.717	949	15
BD18_1711291646_ims.csv	p9	0.6866	29.359	11.3988	1186	59
BD18_1711291646_ims.csv	p10	0.45247	4.508	152.437	784	9
BD18_1711291646_ims.csv	p11	0.59807	29.359	144.167	1034	59
BD18_1711291646_ims.csv	p13	1.06342	97.578	11.4365	1833	196
BD18_1711291646_ims.csv	p14	0.6435	29.359	177.124	1112	59
BD18_1711291646_ims.csv	p15	0.53692	7.987	54.9969	929	16
BD18_1711291646_ims.csv	p16	0.59866	37.767	156.853	1035	76
BD18_1711291646_ims.csv	p17	1.02614	97.578	15.4374	1769	196
BD18_1711291646_ims.csv	p18	0.64408	19.359	38.0688	1113	39
BD18_1711291646_ims.csv	p19	0.59866	56.752	52.5105	1035	114
BD18_1711291646_ims.csv	p20	0.58293	7.55	13.5465	1008	15
BD18_1711291646_ims.csv	p22	0.59866	19.359	209.461	1035	39
BD18_1711291646_ims.csv	p23	1.04536	97.578	11.8425	1802	196
BD18_1711291646_ims.csv	p24	0.49732	6.411	247.902	861	13
BD18_1711291646_ims.csv	p25	0.65981	29.359	14.619	1140	59
BD18_1711291646_ims.csv	p26	1.0046	98.093	18.7122	1732	197
BD18_1711291646_ims.csv	p27	0.99528	97.578	20.1157	1716	196
BD18_1711291646_ims.csv	p28	1.00925	98.093	18.0045	1740	197
BD18_1711291646_ims.csv	p29	1.01683	98.093	16.6746	1753	197
BD18_1711291646_ims.csv	p30	1.14146	97.578	27.411	1967	196
BD18_1711291646_ims.csv	p31	1.05352	98.093	12.1048	1816	197
BD18_1711291646_ims.csv	p32	1.03837	97.578	13.882	1790	196
BD18_1711291646_ims.csv	p34	1.06982	97.578	10.3786	1844	196
BD18_1711291646_ims.csv	p35	0.95334	98.093	30.2623	1644	197
BD18_1711291646_ims.csv	p36	0.96849	98.093	28.1249	1670	197
BD18_1711291646_ims.csv	p37	0.95917	98.093	27.7811	1654	197
BD18_1711291646_ims.csv	p39	1.0308	98.093	14.9555	1777	197
BD18_1711291646_ims.csv	p40	0.97664	98.093	29.8724	1684	197
BD18_1711291646_ims.csv	p42	0.66156	101.525	15.5112	1143	204
BD18_1711291646_ims.csv	p43	0.92481	98.093	125.717	1595	197
BD18_1711291646_ims.csv	p45	0.73902	100.542	28.1046	1276	202
BD18_1711291646_ims.csv	p47	0.60681	100.994	119.787	1049	203
BD18_1711291646_ims.csv	p48	0.8887	117.515	46.1357	1533	236
