measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291753_ims.csv	p1	0.4788	0	121.971	829	0
BD18_1711291753_ims.csv	p2	0.50501	0	17.4336	874	0
BD18_1711291753_ims.csv	p3	0.53472	2.542	31.1036	925	5
BD18_1711291753_ims.csv	p4	0.45258	4.04	170.435	784	8
BD18_1711291753_ims.csv	p5	0.58715	3.51	98.6667	1015	7
BD18_1711291753_ims.csv	p6	0.61103	6.52	24.5327	1056	13
BD18_1711291753_ims.csv	p7	0.58016	8.034	16.1343	1003	16
BD18_1711291753_ims.csv	p8	0.78114	8.564	13.9554	1348	17
BD18_1711291753_ims.csv	p9	0.75784	8.034	28.9637	1308	16
BD18_1711291753_ims.csv	p10	0.49511	11.497	99.9919	857	23
BD18_1711291753_ims.csv	p11	0.49744	5.007	197.877	861	10
BD18_1711291753_ims.csv	p12	0.54754	2.542	76.25	947	5
BD18_1711291753_ims.csv	p13	0.54754	7.581	912.286	947	15
BD18_1711291753_ims.csv	p14	0.5353	10.53	53.6647	926	21
BD18_1711291753_ims.csv	p15	0.87202	28.423	10.168	1504	57
BD18_1711291753_ims.csv	p16	0.81667	29.921	13.8828	1409	60
BD18_1711291753_ims.csv	p18	0.82366	28.953	14.4941	1421	58
BD18_1711291753_ims.csv	p19	0.7625	27.908	11.034	1316	56
BD18_1711291753_ims.csv	p20	0.7823	28.423	10.5163	1350	57
BD18_1711291753_ims.csv	p22	0.91687	28.423	19.8089	1581	57
BD18_1711291753_ims.csv	p24	0.89823	28.423	24.4451	1549	57
BD18_1711291753_ims.csv	p25	0.8458	29.921	651.9	1459	60
BD18_1711291753_ims.csv	p27	0.71706	27.908	43.6534	1238	56
BD18_1711291753_ims.csv	p29	0.6856	32.448	38.1984	1184	65
BD18_1711291753_ims.csv	p31	0.64482	23.4	21.7847	1114	47
BD18_1711291753_ims.csv	p32	0.64366	27.908	368.329	1112	56
BD18_1711291753_ims.csv	p34	0.73861	91.65	20.7886	1275	184
BD18_1711291753_ims.csv	p35	0.60637	74.24	17.1283	1048	149
BD18_1711291753_ims.csv	p36	0.60696	59.763	11.6818	1049	120
BD18_1711291753_ims.csv	p40	1.0194	95.675	38.4952	1757	192
BD18_1711291753_ims.csv	p41	1.02581	95.675	36.1439	1768	192
BD18_1711291753_ims.csv	p42	1.09047	95.675	20.9128	1879	192
BD18_1711291753_ims.csv	p43	0.96697	95.144	51.262	1667	191
BD18_1711291753_ims.csv	p44	1.0462	96.642	29.8954	1803	194
BD18_1711291753_ims.csv	p45	1.09688	97.094	19.7665	1890	195
BD18_1711291753_ims.csv	p46	0.99785	97.094	46.0486	1720	195
BD18_1711291753_ims.csv	p50	1.03979	97.625	31.7201	1792	196
BD18_1711291753_ims.csv	p56	1.06484	95.144	25.369	1835	191
BD18_1711291753_ims.csv	p57	1.07183	96.642	24.3682	1847	194
BD18_1711291753_ims.csv	p61	1.00425	98.607	43.5168	1731	198
BD18_1711291753_ims.csv	p62	1.05144	98.607	28.7179	1812	198
BD18_1711291753_ims.csv	p64	0.95357	98.607	53.234	1644	198
BD18_1711291753_ims.csv	p66	1.06018	97.094	27.0632	1827	195
BD18_1711291753_ims.csv	p68	1.1161	98.607	20.0735	1923	198
BD18_1711291753_ims.csv	p73	0.8959	93.709	13.4309	1545	188
BD18_1711291753_ims.csv	p74	0.99377	98.607	48.2012	1713	198
BD18_1711291753_ims.csv	p75	1.10212	99.138	19.6294	1899	199
BD18_1711291753_ims.csv	p77	0.94367	99.575	54.448	1627	200
BD18_1711291753_ims.csv	p78	1.03571	98.607	32.9728	1785	198
BD18_1711291753_ims.csv	p84	1.0794	99.575	22.5756	1860	200
BD18_1711291753_ims.csv	p86	1.11086	97.625	20.3072	1914	196
BD18_1711291753_ims.csv	p88	1.12135	97.625	20.0811	1932	196
BD18_1711291753_ims.csv	p91	0.97687	99.138	55.112	1684	199
BD18_1711291753_ims.csv	p92	1.14057	97.094	61.4298	1965	195
BD18_1711291753_ims.csv	p96	0.90289	102.133	12.7237	1557	205
BD18_1711291753_ims.csv	p100	0.92444	102.648	109.362	1594	206
BD18_1711291753_ims.csv	p101	0.88833	117.499	62.5611	1532	236
BD18_1711291753_ims.csv	p103	0.60637	136.438	25.9296	1048	274
BD18_1711291753_ims.csv	p106	0.60637	122.023	39.9503	1048	245
BD18_1711291753_ims.csv	p108	0.60637	105.05	103.359	1048	211
