measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291715_ims.csv	p1	0.4788	0	160.904	830	0
BD18_1711291715_ims.csv	p2	0.50382	0	22.6558	873	0
BD18_1711291715_ims.csv	p3	0.45262	4.446	193.961	785	9
BD18_1711291715_ims.csv	p4	0.58645	3.479	40.5904	1015	7
BD18_1711291715_ims.csv	p5	0.56841	7.457	12.3563	984	15
BD18_1711291715_ims.csv	p6	0.58005	7.457	14.5594	1004	15
BD18_1711291715_ims.csv	p7	0.75751	7.988	10.3982	1309	16
BD18_1711291715_ims.csv	p8	0.54804	7.457	465.82	949	15
BD18_1711291715_ims.csv	p9	0.49684	6.474	252.54	861	13
BD18_1711291715_ims.csv	p10	0.57714	23.354	16.8609	999	47
BD18_1711291715_ims.csv	p11	0.59634	23.806	10.5734	1032	48
BD18_1711291715_ims.csv	p14	0.75984	28.314	11.8294	1313	57
BD18_1711291715_ims.csv	p15	0.78195	28.314	10.107	1351	57
BD18_1711291715_ims.csv	p18	0.79882	28.86	10.3808	1380	58
BD18_1711291715_ims.csv	p20	0.80638	28.86	12.6087	1393	58
BD18_1711291715_ims.csv	p21	0.81162	30.342	14.2672	1402	61
BD18_1711291715_ims.csv	p24	0.81919	28.86	14.104	1415	58
BD18_1711291715_ims.csv	p25	0.84537	29.297	604.848	1460	59
BD18_1711291715_ims.csv	p27	0.91635	28.314	19.0759	1582	57
BD18_1711291715_ims.csv	p28	0.86922	30.342	12.4059	1501	61
BD18_1711291715_ims.csv	p30	0.89774	28.314	15.553	1550	57
BD18_1711291715_ims.csv	p32	0.71736	27.862	25.5797	1240	56
BD18_1711291715_ims.csv	p33	0.68536	31.84	37.1967	1185	64
BD18_1711291715_ims.csv	p35	0.59634	37.862	11.5577	1032	76
BD18_1711291715_ims.csv	p37	0.64289	31.403	402.635	1112	63
BD18_1711291715_ims.csv	p46	0.4788	53.196	19.827	830	107
BD18_1711291715_ims.csv	p50	0.4788	66.176	19.9665	830	133
BD18_1711291715_ims.csv	p55	0.4788	79.092	22.4614	830	159
BD18_1711291715_ims.csv	p62	0.88843	94.053	10.5477	1534	189
BD18_1711291715_ims.csv	p63	0.89774	94.053	13.8104	1550	189
BD18_1711291715_ims.csv	p65	1.06298	96.518	26.1192	1834	194
BD18_1711291715_ims.csv	p66	0.99025	97.048	48.9505	1709	195
BD18_1711291715_ims.csv	p67	1.08858	96.518	21.6744	1878	194
BD18_1711291715_ims.csv	p68	1.12175	97.048	21.6035	1935	195
BD18_1711291715_ims.csv	p69	0.95476	97.578	53.2504	1648	196
BD18_1711291715_ims.csv	p71	1.11418	97.048	22.693	1922	195
BD18_1711291715_ims.csv	p72	0.97338	95.55	56.2947	1680	192
BD18_1711291715_ims.csv	p74	1.04902	97.048	30.1926	1810	195
BD18_1711291715_ims.csv	p75	1.02341	97.578	38.9169	1766	196
BD18_1711291715_ims.csv	p76	1.08335	97.048	23.5494	1869	195
BD18_1711291715_ims.csv	p79	0.94428	95.55	53.3373	1630	192
BD18_1711291715_ims.csv	p84	0.95883	98.982	52.8267	1655	199
BD18_1711291715_ims.csv	p86	0.94894	97.048	53.1904	1638	195
BD18_1711291715_ims.csv	p89	1.0688	97.578	25.9309	1844	196
BD18_1711291715_ims.csv	p90	1.07287	97.048	25.0459	1851	195
BD18_1711291715_ims.csv	p94	1.10604	98.015	21.6299	1908	197
BD18_1711291715_ims.csv	p97	0.97803	97.048	56.1884	1688	195
BD18_1711291715_ims.csv	p98	1.05949	98.982	26.4715	1828	199
BD18_1711291715_ims.csv	p102	0.90064	101.104	13.2092	1555	203
BD18_1711291715_ims.csv	p106	1.1008	97.048	20.7672	1899	195
BD18_1711291715_ims.csv	p107	1.04203	97.048	32.8392	1798	195
BD18_1711291715_ims.csv	p108	1.1392	97.048	68.0301	1965	195
BD18_1711291715_ims.csv	p109	0.73831	104.006	23.2227	1276	209
BD18_1711291715_ims.csv	p110	0.92392	102.071	117.162	1595	205
BD18_1711291715_ims.csv	p112	0.88784	117.437	58.3873	1533	236
BD18_1711291715_ims.csv	p115	0.60565	119.996	14.9197	1048	241
BD18_1711291715_ims.csv	p116	0.60623	104.536	92.7465	1049	210
BD18_1711291715_ims.csv	p128	0.4788	148.825	27.6877	830	299
