measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280834_ims.csv	p1	0.47876	0	44.9312	839	0
BD18_1408280834_ims.csv	p2	0.50351	0	12.1118	882	0
BD18_1408280834_ims.csv	p3	0.8068	3.385	10.1568	1409	7
BD18_1408280834_ims.csv	p4	0.81313	3.385	10.4728	1420	7
BD18_1408280834_ims.csv	p5	0.79586	3.385	20.257	1390	7
BD18_1408280834_ims.csv	p6	0.58811	3.915	35.7274	1029	8
BD18_1408280834_ims.csv	p7	0.62264	3.915	20.1664	1089	8
BD18_1408280834_ims.csv	p8	0.69055	3.915	26.4313	1207	8
BD18_1408280834_ims.csv	p9	0.75328	3.915	14.4109	1316	8
BD18_1408280834_ims.csv	p10	0.71357	4.446	12.1638	1247	9
BD18_1408280834_ims.csv	p11	0.4966	6.942	41.976	870	14
BD18_1408280834_ims.csv	p12	0.5484	7.909	84.6128	960	16
BD18_1408280834_ims.csv	p13	0.83788	29.281	38.6821	1463	59
BD18_1408280834_ims.csv	p14	0.66004	29.281	16.6369	1154	59
BD18_1408280834_ims.csv	p15	0.81313	29.281	54.0746	1420	59
BD18_1408280834_ims.csv	p17	0.85284	29.281	29.4147	1489	59
BD18_1408280834_ims.csv	p18	0.59789	28.844	114.405	1046	58
BD18_1408280834_ims.csv	p19	0.64451	29.281	143.405	1127	59
BD18_1408280834_ims.csv	p20	0.59674	37.705	12.309	1044	76
BD18_1408280834_ims.csv	p21	0.57832	40.201	10.1106	1012	81
BD18_1408280834_ims.csv	p22	0.86147	56.128	12.0218	1504	113
BD18_1408280834_ims.csv	p23	0.59789	56.128	405.405	1046	113
BD18_1408280834_ims.csv	p27	1.08074	96.345	13.8481	1885	194
BD18_1408280834_ims.csv	p29	1.1003	96.345	11.2791	1919	194
BD18_1408280834_ims.csv	p31	0.95067	96.345	39.7757	1659	194
BD18_1408280834_ims.csv	p32	1.01571	96.876	27.4746	1772	195
BD18_1408280834_ims.csv	p33	1.02549	96.345	24.193	1789	194
BD18_1408280834_ims.csv	p34	1.0629	96.876	15.8184	1854	195
BD18_1408280834_ims.csv	p35	0.94319	96.876	41.2848	1646	195
BD18_1408280834_ims.csv	p36	1.11872	97.406	12.7632	1951	196
BD18_1408280834_ims.csv	p37	1.1239	96.345	12.5692	1960	194
BD18_1408280834_ims.csv	p38	0.95816	96.345	39.8539	1672	194
BD18_1408280834_ims.csv	p39	1.00017	96.345	33.0431	1745	194
BD18_1408280834_ims.csv	p40	1.05024	97.406	18.6004	1832	196
BD18_1408280834_ims.csv	p41	1.05369	96.876	17.7783	1838	195
BD18_1408280834_ims.csv	p42	1.07671	96.876	13.8909	1878	195
BD18_1408280834_ims.csv	p45	1.03585	96.345	22.0727	1807	194
BD18_1408280834_ims.csv	p46	1.07268	96.345	15.5121	1871	194
BD18_1408280834_ims.csv	p47	1.08937	97.406	13.0085	1900	196
BD18_1408280834_ims.csv	p49	1.10951	96.876	13.6059	1935	195
BD18_1408280834_ims.csv	p50	1.13944	96.876	19.5202	1987	195
BD18_1408280834_ims.csv	p51	1.03124	96.345	23.2618	1799	194
BD18_1408280834_ims.csv	p52	0.98175	96.345	49.8695	1713	194
BD18_1408280834_ims.csv	p54	0.92535	97.937	79.6794	1615	197
BD18_1408280834_ims.csv	p55	0.60767	101.4	42.9221	1063	204
BD18_1408280834_ims.csv	p56	0.64508	110.807	10.9796	1128	223
BD18_1408280834_ims.csv	p57	0.89025	116.22	22.8674	1554	234
